time,count
2012-12-27 20:52:27,2258
2012-12-27 20:59:25,2793
2012-12-27 21:01:05,3943
2012-12-27 21:07:32,2107
2012-12-27 21:07:43,1014
2012-12-27 21:08:28,1870
2012-12-27 21:12:13,379
2012-12-27 21:15:29,1734
2012-12-27 21:15:34,479
2012-12-27 21:16:19,3899
2012-12-27 21:18:52,607
2012-12-27 21:19:07,1326
2012-12-27 21:19:14,1104
2012-12-27 21:19:59,271
2012-12-27 21:21:20,3088
2012-12-27 21:21:29,1994
2012-12-27 21:24:53,4492
2012-12-27 21:25:15,1190
2012-12-27 21:25:38,7625
2012-12-27 21:25:48,1452
2012-12-27 21:27:48,360
2012-12-27 21:28:33,186
2012-12-27 21:28:39,3570
2012-12-27 21:29:00,80
2012-12-27 21:29:18,670
2012-12-27 21:29:45,166
2012-12-27 21:31:14,702
2012-12-27 21:31:21,1147
2012-12-27 21:32:41,6210
2012-12-27 21:33:49,1072
2012-12-27 21:33:57,1397
2012-12-27 21:34:18,2163
2012-12-27 21:34:23,5020
2012-12-27 21:34:40,541
2012-12-27 21:35:14,4364
2012-12-27 21:35:25,340
2012-12-27 21:37:24,13219
2012-12-27 21:40:05,4377
2012-12-27 21:42:06,1178
2012-12-27 21:44:00,172
2012-12-27 21:44:00,246
2012-12-27 21:44:58,2176
2012-12-27 21:45:08,1612
2012-12-27 21:46:59,255
2012-12-27 21:47:52,2299
2012-12-27 21:47:57,859
2012-12-27 21:51:38,1441
2012-12-27 21:51:59,875
2012-12-27 21:52:08,646
2012-12-27 21:52:43,2356
2012-12-27 21:53:21,3590
2012-12-27 21:54:06,2226
2012-12-27 21:54:39,830
2012-12-27 21:55:22,4768
2012-12-27 21:55:26,404
2012-12-27 21:55:47,500
2012-12-27 21:55:57,593
2012-12-27 21:56:30,468
2012-12-27 21:57:28,609
2012-12-27 21:59:20,1992
2012-12-27 22:00:27,275
2012-12-27 22:01:16,385
2012-12-27 22:01:50,1066
2012-12-27 22:02:02,816
2012-12-27 22:02:42,825
2012-12-27 22:06:29,6409
2012-12-27 22:07:07,911
2012-12-27 22:07:20,472
2012-12-27 22:08:18,1646
2012-12-27 22:08:33,2124
2012-12-27 22:09:37,709
2012-12-27 22:10:30,4528
2012-12-27 22:12:21,231
2012-12-27 22:13:13,650
2012-12-27 22:13:20,4355
2012-12-27 22:13:25,5056
2012-12-27 22:17:42,988
2012-12-27 22:18:29,529
2012-12-27 22:21:54,1234
2012-12-27 22:24:27,1006
2012-12-27 22:25:08,721
2012-12-27 22:27:18,2826
2012-12-27 22:28:42,9894
2012-12-27 22:30:01,1193
2012-12-27 22:31:04,199
2012-12-27 22:32:17,2826
2012-12-27 22:33:21,232
2012-12-27 22:35:04,1452
2012-12-27 22:35:11,1012
2012-12-27 22:35:13,1511
2012-12-27 22:36:50,310
2012-12-27 22:37:09,477
2012-12-27 22:41:32,964
2012-12-27 22:42:00,403
2012-12-27 22:42:43,434
2012-12-27 22:43:52,704
2012-12-27 22:44:21,121
2012-12-27 22:45:04,2897
2012-12-27 22:49:05,4152
2012-12-27 22:49:40,924
2012-12-27 22:51:30,978
2012-12-27 22:55:26,2771
2012-12-27 22:56:05,11396
2012-12-27 22:58:19,937
2012-12-27 23:00:13,265
2012-12-27 23:00:57,5612
2012-12-27 23:01:09,507
2012-12-27 23:03:45,1476
2012-12-27 23:04:35,1545
2012-12-27 23:04:38,1366
2012-12-27 23:12:17,292
2012-12-27 23:13:59,1025
2012-12-27 23:20:52,2750
2012-12-27 23:21:17,19
2012-12-27 23:21:33,958
2012-12-27 23:21:55,818
2012-12-27 23:23:22,529
2012-12-27 23:23:40,1030
2012-12-27 23:28:31,2283
2012-12-27 23:33:22,1154
2012-12-27 23:34:17,827
2012-12-27 23:37:32,434
2012-12-27 23:40:06,1151
2012-12-27 23:41:08,2760
2012-12-27 23:41:39,92
2012-12-27 23:41:44,271
2012-12-27 23:49:00,107
2012-12-27 23:51:01,1635
2012-12-27 23:52:04,180
2012-12-27 23:53:04,1337
2012-12-27 23:53:15,331
2012-12-27 23:56:30,831
2012-12-27 23:56:59,1035
2012-12-27 23:57:01,1581
2012-12-27 23:57:59,1459
2012-12-28 00:02:28,432
2012-12-28 00:02:31,940
2012-12-28 00:04:02,820
2012-12-28 00:05:17,1115
2012-12-28 00:05:19,244
2012-12-28 00:07:02,1316
2012-12-28 00:07:41,272
2012-12-28 00:09:06,123
2012-12-28 00:10:40,1479
2012-12-28 00:10:43,4830
2012-12-28 00:10:48,1459
2012-12-28 00:12:33,1164
2012-12-28 00:20:05,213
2012-12-28 00:22:26,2521
2012-12-28 00:24:09,2342
2012-12-28 00:27:04,55
2012-12-28 00:27:26,833
2012-12-28 00:27:57,3912
2012-12-28 00:28:08,283
2012-12-28 00:28:31,372
2012-12-28 00:30:51,3285
2012-12-28 00:31:18,34
2012-12-28 00:32:22,3749
2012-12-28 00:32:57,266
2012-12-28 00:33:55,725
2012-12-28 00:34:06,798
2012-12-28 00:38:30,3137
2012-12-28 00:39:30,405
2012-12-28 00:43:37,6314
2012-12-28 00:47:31,654
2012-12-28 00:47:58,448
2012-12-28 00:49:41,2633
2012-12-28 00:50:05,992
2012-12-28 00:50:38,213
2012-12-28 00:55:53,270
2012-12-28 00:56:17,546
2012-12-28 00:56:40,433
2012-12-28 00:58:14,1079
2012-12-28 00:59:26,390
2012-12-28 01:00:30,206
2012-12-28 01:01:13,350
2012-12-28 01:02:36,2080
2012-12-28 01:02:56,3923
2012-12-28 01:04:22,1121
2012-12-28 01:04:35,877
2012-12-28 01:05:08,693
2012-12-28 01:05:25,1063
2012-12-28 01:05:51,892
2012-12-28 01:07:26,3110
2012-12-28 01:11:31,968
2012-12-28 01:12:01,1041
2012-12-28 01:12:16,655
2012-12-28 01:14:37,1
2012-12-28 01:15:15,711
2012-12-28 01:15:21,10704
2012-12-28 01:18:27,1378
2012-12-28 01:20:13,119
2012-12-28 01:21:27,431
2012-12-28 01:21:45,1515
2012-12-28 01:22:16,638
2012-12-28 01:22:43,2270
2012-12-28 01:26:05,455
2012-12-28 01:26:37,1270
2012-12-28 01:28:13,537
2012-12-28 01:35:03,519
2012-12-28 01:36:53,768
2012-12-28 01:37:51,4873
2012-12-28 01:38:31,152
2012-12-28 01:42:05,465
2012-12-28 01:44:04,3271
2012-12-28 01:44:25,985
2012-12-28 01:44:40,712
2012-12-28 01:45:21,1051
2012-12-28 01:48:37,345
2012-12-28 01:48:59,569
2012-12-28 01:53:11,1272
2012-12-28 01:53:49,943
2012-12-28 01:57:24,1195
2012-12-28 01:58:42,440
2012-12-28 02:00:34,944
2012-12-28 02:01:18,100
2012-12-28 02:05:19,507
2012-12-28 02:06:00,953
2012-12-28 02:09:27,1162
2012-12-28 02:11:25,1700
2012-12-28 02:12:20,576
2012-12-28 02:16:33,849
2012-12-28 02:18:27,507
2012-12-28 02:18:43,94
2012-12-28 02:21:35,482
2012-12-28 02:36:30,45
2012-12-28 02:38:37,649
2012-12-28 02:41:43,523
2012-12-28 02:44:23,1146
2012-12-28 02:47:27,542
2012-12-28 02:50:31,2162
2012-12-28 02:53:17,51
2012-12-28 02:56:04,591
2012-12-28 02:56:39,357
2012-12-28 02:58:12,1614
2012-12-28 03:04:40,1017
2012-12-28 03:17:21,265
2012-12-28 03:17:46,505
2012-12-28 03:19:08,294
2012-12-28 03:21:31,118
2012-12-28 03:26:59,334
2012-12-28 03:28:21,223
2012-12-28 03:28:45,657
2012-12-28 03:40:41,63
2012-12-28 03:43:44,1118
2012-12-28 03:45:15,762
2012-12-28 03:47:09,1001
2012-12-28 03:49:07,208
2012-12-28 03:49:43,213
2012-12-28 03:53:46,1006
2012-12-28 03:57:34,678
2012-12-28 03:57:39,136
2012-12-28 04:04:44,501
2012-12-28 04:05:27,7387
2012-12-28 04:14:07,466
2012-12-28 04:14:18,23
2012-12-28 04:14:36,3132
2012-12-28 04:15:19,714
2012-12-28 04:18:08,922
2012-12-28 04:18:17,1358
2012-12-28 04:18:51,619
2012-12-28 04:19:22,1235
2012-12-28 04:21:28,1064
2012-12-28 04:21:50,380
2012-12-28 04:23:19,1547
2012-12-28 04:35:10,3477
2012-12-28 04:36:29,1216
2012-12-28 04:36:40,1550
2012-12-28 04:38:43,2574
2012-12-28 04:47:18,1499
2012-12-28 04:49:25,208
2012-12-28 04:50:20,1127
2012-12-28 04:52:35,1523
2012-12-28 04:55:12,426
2012-12-28 04:55:38,3147
2012-12-28 04:57:27,4049
2012-12-28 04:57:46,1921
2012-12-28 05:05:28,2104
2012-12-28 05:05:41,803
2012-12-28 05:07:09,1159
2012-12-28 05:09:35,2117
2012-12-28 05:16:24,1239
2012-12-28 05:16:57,2298
2012-12-28 05:20:35,715
2012-12-28 05:23:58,2123
2012-12-28 05:24:15,41
2012-12-28 05:24:42,369
2012-12-28 05:32:32,456
2012-12-28 05:42:28,618
2012-12-28 05:45:39,1748
2012-12-28 05:46:16,257
2012-12-28 05:47:17,384
2012-12-28 05:49:40,2030
2012-12-28 05:57:02,652
2012-12-28 05:58:59,3243
2012-12-28 06:00:24,1008
2012-12-28 06:03:52,949
2012-12-28 06:04:54,3329
2012-12-28 06:11:49,911
2012-12-28 06:12:24,512
2012-12-28 06:16:32,1617
2012-12-28 06:17:53,7452
2012-12-28 06:19:20,2699
2012-12-28 06:19:29,3978
2012-12-28 06:20:02,2439
2012-12-28 06:20:53,538
2012-12-28 06:31:02,2105
2012-12-28 06:36:51,735
2012-12-28 06:44:20,494
2012-12-28 06:47:27,1957
2012-12-28 06:48:06,682
2012-12-28 06:49:49,753
2012-12-28 06:50:19,1196
2012-12-28 06:55:58,1391
2012-12-28 07:04:02,58
2012-12-28 07:10:08,1303
2012-12-28 07:11:38,2888
2012-12-28 07:13:35,1152
2012-12-28 07:17:54,458
2012-12-28 07:18:48,358
2012-12-28 07:19:26,305
2012-12-28 07:20:56,1877
2012-12-28 07:23:49,1437
2012-12-28 07:24:33,1068
2012-12-28 07:26:38,252
2012-12-28 07:32:50,2935
2012-12-28 07:36:13,2922
2012-12-28 07:36:40,842
2012-12-28 07:38:03,176
2012-12-28 07:38:07,454
2012-12-28 07:42:31,7368
2012-12-28 07:43:04,2034
2012-12-28 07:44:25,2301
2012-12-28 07:45:29,206
2012-12-28 07:47:32,1542
2012-12-28 07:54:25,3570
2012-12-28 07:55:40,807
2012-12-28 07:56:28,330
2012-12-28 07:57:28,1374
2012-12-28 07:58:31,504
2012-12-28 08:02:55,1498
2012-12-28 08:03:35,1362
2012-12-28 08:06:59,974
2012-12-28 08:07:59,105
2012-12-28 08:10:33,1547
2012-12-28 08:14:45,527
2012-12-28 08:16:22,1379
2012-12-28 08:19:05,3068
2012-12-28 08:24:02,431
2012-12-28 08:31:11,1929
2012-12-28 08:32:32,384
2012-12-28 08:32:46,1197
2012-12-28 08:37:03,2530
2012-12-28 08:44:32,466
2012-12-28 08:45:19,293
2012-12-28 08:46:14,2515
2012-12-28 08:48:22,2049
2012-12-28 08:50:11,1263
2012-12-28 08:50:48,3104
2012-12-28 08:52:59,619
2012-12-28 08:53:44,1207
2012-12-28 08:54:56,284
2012-12-28 08:58:21,2075
2012-12-28 09:00:28,4221
2012-12-28 09:01:12,855
2012-12-28 09:05:40,114
2012-12-28 09:06:06,1070
2012-12-28 09:06:17,598
2012-12-28 09:07:54,791
2012-12-28 09:09:36,683
2012-12-28 09:09:36,923
2012-12-28 09:10:09,1979
2012-12-28 09:10:20,1682
2012-12-28 09:12:06,717
2012-12-28 09:15:17,1571
2012-12-28 09:18:12,168
2012-12-28 09:20:06,114
2012-12-28 09:22:16,2657
2012-12-28 09:24:40,8067
2012-12-28 09:27:17,2350
2012-12-28 09:35:24,28
2012-12-28 09:39:19,349
2012-12-28 09:42:29,38
2012-12-28 09:43:35,232
2012-12-28 09:49:21,1477
2012-12-28 09:53:16,222
2012-12-28 09:53:34,1719
2012-12-28 10:02:22,490
2012-12-28 10:08:34,1313
2012-12-28 10:10:47,448
2012-12-28 10:11:09,788
2012-12-28 10:11:12,49
2012-12-28 10:18:02,1184
2012-12-28 10:21:06,1670
2012-12-28 10:23:10,1674
2012-12-28 10:23:31,9616
2012-12-28 10:30:11,4103
2012-12-28 10:34:13,12515
2012-12-28 10:35:42,373
2012-12-28 10:37:38,453
2012-12-28 10:40:20,640
2012-12-28 10:43:53,1341
2012-12-28 10:44:56,842
2012-12-28 10:47:29,1063
2012-12-28 10:49:25,1379
2012-12-28 10:50:47,2226
2012-12-28 10:51:23,1282
2012-12-28 10:53:48,1212
2012-12-28 10:55:11,464
2012-12-28 10:57:51,254
2012-12-28 11:01:05,34
2012-12-28 11:01:47,1212
2012-12-28 11:14:41,7372
2012-12-28 11:16:58,174
2012-12-28 11:39:35,282
2012-12-28 11:42:27,501
2012-12-28 11:49:34,1089
2012-12-28 11:50:05,404
2012-12-28 11:51:30,435
2012-12-28 11:52:41,762
2012-12-28 11:52:56,1529
2012-12-28 11:53:13,1026
2012-12-28 11:53:50,86
2012-12-28 11:56:16,711
2012-12-28 11:58:34,1785
2012-12-28 12:01:23,148
2012-12-28 12:05:15,2466
2012-12-28 12:08:44,2485
2012-12-28 12:12:27,1910
2012-12-28 12:13:00,1390
2012-12-28 12:13:29,665
2012-12-28 12:13:49,848
2012-12-28 12:14:04,1481
2012-12-28 12:14:05,369
2012-12-28 12:15:47,7868
2012-12-28 12:17:49,3170
2012-12-28 12:19:44,390
2012-12-28 12:22:34,318
2012-12-28 12:23:40,1007
2012-12-28 12:26:35,477
2012-12-28 12:28:05,845
2012-12-28 12:29:24,937
2012-12-28 12:33:47,198
2012-12-28 12:36:21,4249
2012-12-28 12:36:52,1387
2012-12-28 12:36:56,1249
2012-12-28 12:40:11,490
2012-12-28 12:40:20,263
2012-12-28 12:45:09,2514
2012-12-28 12:48:37,1062
2012-12-28 12:59:03,2418
2012-12-28 12:59:16,208
2012-12-28 12:59:31,726
2012-12-28 13:02:11,367
2012-12-28 13:03:15,1420
2012-12-28 13:13:06,452
2012-12-28 13:13:24,57
2012-12-28 13:14:29,824
2012-12-28 13:15:55,2496
2012-12-28 13:26:00,1014
2012-12-28 13:26:34,6754
2012-12-28 13:28:41,744
2012-12-28 13:29:35,100
2012-12-28 13:39:12,231
2012-12-28 13:42:14,544
2012-12-28 13:43:29,3144
2012-12-28 13:49:14,598
2012-12-28 13:49:49,94
2012-12-28 13:50:20,1101
2012-12-28 13:50:34,224
2012-12-28 13:50:41,5993
2012-12-28 13:51:07,2708
2012-12-28 13:54:20,10022
2012-12-28 13:54:51,1654
2012-12-28 13:55:59,1923
2012-12-28 14:01:46,608
2012-12-28 14:02:48,643
2012-12-28 14:11:41,245
2012-12-28 14:12:48,468
2012-12-28 14:14:24,1655
2012-12-28 14:19:03,1597
2012-12-28 14:23:43,665
2012-12-28 14:23:53,126
2012-12-28 14:24:45,863
2012-12-28 14:25:36,1652
2012-12-28 14:30:54,2762
2012-12-28 14:32:08,237
2012-12-28 14:33:04,1669
2012-12-28 14:33:54,150
2012-12-28 14:34:35,3240
2012-12-28 14:39:30,2147
2012-12-28 14:39:47,1092
2012-12-28 14:48:28,512
2012-12-28 14:54:09,1475
2012-12-28 14:56:10,255
2012-12-28 15:02:59,573
2012-12-28 15:06:06,248
2012-12-28 15:07:03,376
2012-12-28 15:11:24,149
2012-12-28 15:15:52,455
2012-12-28 15:16:19,756
2012-12-28 15:16:28,170
2012-12-28 15:17:01,1122
2012-12-28 15:19:12,694
2012-12-28 15:19:39,1960
2012-12-28 15:20:23,5181
2012-12-28 15:23:12,112
2012-12-28 15:27:41,475
2012-12-28 15:34:43,5507
2012-12-28 15:38:24,905
2012-12-28 15:40:32,3349
2012-12-28 15:41:01,174
2012-12-28 15:44:22,2855
2012-12-28 15:52:13,416
2012-12-28 15:56:16,6331
2012-12-28 15:56:45,2855
2012-12-28 16:05:03,99
2012-12-28 16:07:14,751
2012-12-28 16:08:37,2517
2012-12-28 16:12:41,205
2012-12-28 16:15:30,744
2012-12-28 16:15:52,553
2012-12-28 16:16:57,843
2012-12-28 16:17:07,5371
2012-12-28 16:17:38,269
2012-12-28 16:18:58,1081
2012-12-28 16:20:59,6028
2012-12-28 16:21:43,2287
2012-12-28 16:26:07,78
2012-12-28 16:31:37,2309
2012-12-28 16:32:17,9075
2012-12-28 16:34:14,2052
2012-12-28 16:36:23,107
2012-12-28 16:49:28,1975
2012-12-28 16:49:41,8646
2012-12-28 16:49:55,483
2012-12-28 16:57:37,634
2012-12-28 17:00:11,1147
2012-12-28 17:03:42,3296
2012-12-28 17:04:21,241
2012-12-28 17:07:05,369
2012-12-28 17:16:42,627
2012-12-28 17:18:44,764
2012-12-28 17:25:10,1247
2012-12-28 17:33:00,369
2012-12-28 17:42:37,887
2012-12-28 17:51:43,1404
2012-12-28 17:54:06,1810
2012-12-28 17:54:53,482
2012-12-28 17:57:31,2520
2012-12-28 18:12:24,1070
2012-12-28 18:15:17,2020
2012-12-28 18:15:44,483
2012-12-28 18:24:23,1530
2012-12-28 18:32:39,3722
2012-12-28 18:35:23,684
2012-12-28 18:50:18,7395
2012-12-28 18:58:23,180
2012-12-28 19:22:21,1207
2012-12-28 19:34:51,1099
2012-12-28 19:39:31,149
2012-12-28 19:48:29,897
2012-12-28 20:03:29,2886
2012-12-28 20:08:16,300
2012-12-28 20:15:53,556
2012-12-28 20:19:39,84
2012-12-28 20:23:18,1642
2012-12-28 20:31:14,121
2012-12-28 20:32:19,269
2012-12-28 20:46:57,831
2012-12-28 20:50:31,1030
2012-12-28 20:53:27,1219
2012-12-28 20:58:46,861
2012-12-28 21:02:40,536
2012-12-28 21:27:52,420
2012-12-28 21:28:41,400
2012-12-28 21:30:18,1166
2012-12-28 21:42:18,4136
2012-12-28 21:42:18,4136
2012-12-28 21:48:28,1312
2012-12-28 21:50:34,972
2012-12-28 21:59:43,2130
2012-12-28 22:02:15,189
2012-12-28 22:11:33,1070
2012-12-28 22:14:36,1321
2012-12-28 22:18:26,835
2012-12-28 22:21:28,1008
2012-12-28 22:22:21,282
2012-12-28 22:47:57,1032
2012-12-28 23:00:03,186
2012-12-28 23:01:46,732
2012-12-28 23:05:11,484
2012-12-28 23:16:50,299
2012-12-28 23:22:54,458
2012-12-28 23:25:10,100
2012-12-28 23:26:13,1618
2012-12-28 23:31:40,368
2012-12-28 23:34:31,506
2012-12-28 23:36:46,406
2012-12-28 23:50:45,1322
2012-12-28 23:55:16,1120
2012-12-29 00:09:50,182
2012-12-29 00:10:57,570
2012-12-29 00:13:29,1867
2012-12-29 00:32:23,908
2012-12-29 00:39:58,2189
2012-12-29 00:40:42,4235
2012-12-29 00:43:50,552
2012-12-29 00:51:01,5311
2012-12-29 00:58:02,1962
2012-12-29 01:03:18,4399
2012-12-29 01:07:58,1790
2012-12-29 01:09:23,1151
2012-12-29 01:17:03,2301
2012-12-29 01:23:01,385
2012-12-29 01:41:08,721
2012-12-29 01:41:54,514
2012-12-29 01:47:03,1127
2012-12-29 03:30:45,1622
2012-12-29 03:49:05,623
2012-12-29 04:01:20,319
2012-12-29 04:18:57,322
2012-12-29 04:19:46,147
2012-12-29 04:43:20,149
2012-12-29 04:56:25,185
2012-12-29 05:10:08,994
2012-12-29 05:12:33,832
2012-12-29 05:33:27,406
2012-12-29 05:41:10,529
2012-12-29 06:07:45,148
2012-12-29 06:10:49,95
2012-12-29 06:26:21,95
2012-12-29 06:27:37,1586
2012-12-29 06:28:08,2978
2012-12-29 06:31:39,354
2012-12-29 06:33:26,1432
2012-12-29 06:39:50,218
2012-12-29 06:57:54,507
2012-12-29 07:16:59,3281
2012-12-29 07:37:39,13
2012-12-29 08:05:18,7823
2012-12-29 08:06:20,248
2012-12-29 08:22:26,580
2012-12-29 08:58:08,1105
2012-12-29 09:04:51,635
2012-12-29 09:07:16,121
2012-12-29 09:09:02,1427
2012-12-29 09:16:26,1106
2012-12-29 09:21:16,613
2012-12-29 09:40:37,1204
2012-12-29 09:45:19,18148
2012-12-29 09:50:58,119
2012-12-29 09:53:24,285
2012-12-29 09:56:09,485
2012-12-29 10:19:11,2073
2012-12-29 10:20:47,1871
2012-12-29 10:37:00,643
2012-12-29 10:49:48,210
2012-12-29 10:54:45,360
